Name,Symbol,Price,24h Change,24h Volume
Bitcoin,btc,63912,-5.14585,69580524663
Ethereum,eth,3306.34,-6.19836,33122408345
Tether,usdt,1.001,0.07019,114230978131
Solana,sol,183.17,-9.79497,12167766545
BNB,bnb,526.72,-4.83791,6320728048
XRP,xrp,0.60395,-0.30961,4020982716
Lido Staked Ether,steth,3301.51,-6.17856,255257021
USDC,usdc,1.002,0.10591,14141204251
Avalanche,avax,60.03,-2.59128,3497395082
Cardano,ada,0.624668,-5.46111,1072380781
Dogecoin,doge,0.133848,-7.13709,2947984892
Shiba Inu,shib,0.00002609,-5.30563,1965743305
Toncoin,ton,3.91,4.78004,200376461
Polkadot,dot,9.17,-6.99939,595252821
Chainlink,link,17.77,-4.73276,1056151863
TRON,trx,0.118472,-4.60351,849700828
Wrapped Bitcoin,wbtc,63707,-5.06265,569888043
Polygon,matic,0.963832,-7.25128,759075213
Uniswap,uni,11.1,-6.82555,317965553
Bitcoin Cash,bch,373.13,-4.62408,695188759
NEAR Protocol,near,6.95,-5.5462,1109835858
Aptos,apt,16.47,9.76481,821077697
Litecoin,ltc,80.95,-2.4368,1072959802
LEO Token,leo,6.15,-0.25841,4260740
Internet Computer,icp,11.62,-3.83303,246246415
Dai,dai,1.002,0.26987,721981580
Cosmos Hub,atom,11.4,-3.47248,430775178
Filecoin,fil,8.46,-5.41603,513728548
Arbitrum,arb,1.64,-1.12893,1234456943
Render,rndr,11.31,-6.32038,798450819
Stacks,stx,2.94,12.04179,233176338
Ethereum Classic,etc,28.96,-6.21508,405533986
Bittensor,tao,648.74,-5.28912,31911122
The Graph,grt,0.403536,-1.66761,277463700
Immutable,imx,2.68,-4.56623,111972287
Stellar,xlm,0.126254,-1.17255,284400126
Hedera,hbar,0.106773,-4.24463,130674525
OKB,okb,59.2,-7.44814,23789849
Optimism,op,3.43,2.62828,494718491
Cronos,cro,0.127195,-5.63514,37916415
Injective,inj,37.03,-6.96171,346944160
Kaspa,kas,0.126977,-3.0494,90571627
Fantom,ftm,1.057,15.95286,1201291596
VeChain,vet,0.04018704,0.13836,163088235
First Digital USD,fdusd,1.002,0.18801,20830245021
Pepe,pepe,0.00000671,-5.31777,1220615975
Theta Network,theta,2.74,-10.71653,130533306
Maker,mkr,2933.23,-5.42755,267318687
dogwifhat,wif,2.62,-8.29949,637916241
Fetch.ai,fet,2.51,-2.7284,729091362
Mantle,mnt,0.795322,-3.81814,437306908
Celestia,tia,14.35,8.48679,326187497
Monero,xmr,133.4,-3.17989,45947939
THORChain,rune,7.88,-5.32831,635947489
Sei,sei,0.875944,5.14035,261396754
Lido DAO,ldo,2.44,-4.10357,164995569
Sui,sui,1.71,7.23476,812317537
Arweave,ar,32.28,-5.65486,124607600
GALA,gala,0.055431,-6.62155,302540183
Rocket Pool ETH,reth,3631.98,-5.781,25468677
Algorand,algo,0.241491,-5.05041,167048071
Flow,flow,1.27,-3.30383,105971136
FLOKI,floki,0.00018533,-4.02137,551874608
Mantle Staked Ether,meth,3383.31,-6.29275,9140628
Quant,qnt,117.4,-8.57615,56939730
Aave,aave,115.23,-5.88644,206052800
Beam,beam,0.03187883,-3.25235,55925243
Jupiter,jup,1.23,-17.35474,585913423
MultiversX,egld,57.84,-5.5508,63395545
Starknet,strk,2.06,5.2769,341316371
dYdX,dydx,3.23,-4.29073,29128083
Bitcoin SV,bsv,75.53,-7.36779,51668199
Bonk,bonk,0.00002219,-9.36649,317862478
Conflux,cfx,0.373355,-6.96263,185999327
Pyth Network,pyth,0.940629,-10.41992,291913035
Axie Infinity,axs,9.65,-6.43141,115841685
The Sandbox,sand,0.594907,-3.66306,241280538
SingularityNET,agix,1.019,-5.54965,347163721
Wrapped eETH,weeth,3388.26,-6.34748,48724715
ether.fi Staked ETH,eeth,3201.22,-7.76285,944577
ORDI,ordi,61.27,-4.12378,375845159
Mina Protocol,mina,1.2,-4.20391,58400995
Ribbon Finance,rbn,1.36,4.26466,28538097
BitTorrent,btt,0.00000129,-4.4327,99306924
Worldcoin,wld,8.09,-8.86451,520908397
Synthetix Network,snx,3.77,-3.66633,64225788
Akash Network,akt,5.34,-6.5453,17148008
KuCoin,kcs,12.6,-12.39098,610112
Bitget Token,bgb,0.864666,1.14597,56105693
Tokenize Xchange,tkx,14.87,-6.33265,63603350
Tezos,xtz,1.22,-4.9423,74710145
Ethena USDe,usde,1,0.14249,61464334
Flare,flr,0.03193163,-4.45111,30876314
WhiteBIT Coin,wbt,7.99,-1.95072,16577899
ApeCoin,ape,1.87,-7.10526,160513976
Marinade staked SOL,msol,211.78,-10.49892,42401380
Chiliz,chz,0.125428,-5.76174,123987628
Decentraland,mana,0.593932,-2.924,170904662
Helium,hnt,6.66,-3.41489,33289881
EOS,eos,0.944692,-3.55236,319994946
